book_id,price
6c13ab8e-2960-4131-aaaa-3f11fdd49d9e,94.11
68866c30-ecee-41eb-bb52-d6e96c501048,64.16
63555c55-4a1f-4b5e-a0be-938503194a13,13.07
6ee81307-14ed-48ef-89fe-e88b923e8241,18.86
65571880-1386-4a7e-b840-5ba21cdb4642,92.81
6b4c27e7-0ab1-4e6a-99f6-f1016e30100a,59.37
6a7ce2c9-e4c6-4151-bc69-0c2bec4ec948,42.17
65665cc1-5157-4d8a-9359-4699f6f52c5d,99.06
68483a88-ee9a-4ab0-9bf2-f2596f2758f3,28.6
6e98e79f-322b-43ec-a2e3-4d10a7664729,44.15
635e31af-105c-4422-9812-75547c79ec08,89.59
69a687c7-de52-436c-bd10-2499df4bfa79,86.95
6bb104fe-ae65-44c4-9174-a67964e59ccc,96.63
640851c6-9c7a-4785-bb64-b0bd026f64e5,86.56
663ba16f-9486-41a9-806c-ceb79566e227,83.18
66bf1671-c003-48c2-aac7-670c1ff60a2e,69.06
6ae32fd7-8fc8-4abc-8182-1fa2bf9317a2,20.84
6186e3cf-94d7-4662-bfd7-10dc04cdf515,34.92
615aeaab-7a8a-4430-9508-7deb91313c2a,5.18
682da10c-4127-4afe-9586-d148a4a43c14,3.73
6b5a9286-7b6f-48b4-9485-cb872e562ace,11.86
6778cdbe-7744-421d-9a78-dd07e0592a6c,38.92
6f34ee19-4a9e-4139-855b-163d24f03656,25.4
6ae2f60a-8e33-47d9-8c5b-a42f6d741a13,69.78
609d0fd3-5317-4b5d-86f3-5cd9cec6a25a,66.25
632b4c3e-a4a3-444a-8377-788cab2caaec,54
6bec40a6-28bd-4916-9c29-2b8ed1987f16,36.11
6ab245bf-0c42-41f5-9313-e4b34b7cd7c1,76.98
60438450-4939-447d-8697-a0d172a3ad28,7.27
6638e5a3-7c10-4b3c-b8ce-7eb1ecf3b101,5.72
6a3e0782-2eba-4921-a9bf-a5d32f7d8d5d,40.5
6395cf3d-9097-4c9b-8f54-29e702b3eb1e,49.72
6461e9fb-21d8-4075-9337-a7016bab0bd1,30.44
6d9c6ac4-ba9f-4c48-b6a3-db171fcabf04,96.69
6a40e540-bca0-4b1c-a251-f0f862a5e8e8,70.39
612da8df-6408-4ee6-8dc9-f86ce504c2f3,50.87
6ff5a99b-caef-4c36-83e8-a2e25c60af19,8.89
6bc1e2e2-5aaa-4771-a4bc-53176096f2bc,8.73
6af9d7ff-a349-4cf8-a01f-13946c94bf22,90.22
6e82a99b-3b63-408b-8007-0460010fe05e,47.11
651cc7f0-e1dd-4400-af13-85a136148257,66.2
615daa5a-7d5d-4ef7-84e3-190a23d964ee,90.62
6ef24383-2550-4bbb-9e33-98274c9b8a8a,20.23
622caeec-c3b3-4259-9e94-3895813dc9af,90.54
6f5a3dcf-0ca4-4444-82c8-f6a042bc5cc7,37.72
65f86c6f-10ac-4596-8e39-ceed1e64e59c,37.85
673a990c-e8a8-457d-b70b-c277d18156f1,47.49
6ad60be5-206b-4f67-ba0b-3d28307e66a7,6.47
608be147-3443-4957-9271-3678c84c7ee0,90.02
6b04b492-4fdb-477b-a8f0-389da27dd359,14.71
658d1aea-a875-45fe-af69-3e9a93cd2516,59.04
604e2b5f-228d-454e-beee-7940dfc75659,69.4
6a339247-db5f-421f-bcdb-f635c61f3deb,60.57
61adc56d-6b0b-4945-a055-d0562e8f4f96,82.43
607e97c1-7cff-4796-938f-05543001bffb,55.3
67b3ca1a-b20f-4b0a-818c-da373bfa7cfd,51.97
6cc0ebd0-ba90-4d50-8b66-58d5a63c5c1f,27.7
6f266a66-a75d-46a0-a8e2-bc038d4b11a4,56.86
6a37b62d-31ef-4d11-8a0d-7296d45880ed,14.91
6f03f39a-95e0-404b-b8dc-1cc9390f188c,54.9
65a9a397-bdca-4c46-a526-4d6b44308c92,8.22
6798fb5e-1606-472f-9a0f-33a530df9a5c,28.44
6d490524-5afb-4f01-b38d-1f6c261ac946,87.62
625b2fa5-155b-4157-a33b-e02ffa01ca38,26.74
6aadab9a-b54a-4e39-a95e-181d92606a21,83.73
6cf1a1e8-127d-408a-a769-8b07a1b846f2,50.09
6c751ae2-ee07-45b6-9ff6-47fce880b815,66.24
633ea3d9-f496-4116-ab0c-9747aff29189,95.32
6d5d0bb3-b10e-4230-ba46-e940a53c5a26,19.22
6c7cb7fe-270d-4c0e-acb0-41c398b5611d,65.3
6b77d201-5b7e-4a84-b073-7ef5747a273f,5.43
6c0f459d-bfc2-4069-bfc8-cb54a4e4ba95,17.82
6216e05a-46c4-46b0-8b0d-1029f045b044,74.06
61caf955-8c21-41fe-9f91-db329d3ab035,26.86
622cbb3e-6f79-4e92-b3f4-bd1466d6314a,54.26
6d2b14eb-7ef8-4be7-a65d-1a4f8414bef5,33.21
61d36a77-6c52-449b-a868-fc875b877376,19.7
61869cac-9f7e-4947-b31c-85ba40c0b9e8,17.52
6f95a1db-e87b-4aa9-bab1-e2ef9d2aa8bd,1.56
68b998ec-c092-412f-b2e1-08ac2f9ae531,65.62
6046dbbc-7897-484f-b28d-48f0d6d085ed,18.61
69f719bb-b8cb-4267-9921-a60226be0f59,97.45
60ce2c9f-90be-45af-8908-4353536c61e7,61.39
62995a5d-ef6e-4db4-8e84-486a85b5ea1d,70.71
69a32e72-2478-400d-9483-aab55a70fdb8,39.08
63a9cb4e-ba19-4fd2-bbc0-aa5d38aec5f0,39.15
69faab3c-9bcf-4bf3-9d51-23ddcf7847da,32.5
62edfcad-5398-4372-9de7-b6356aea84f7,93.09
6c1d1124-0cff-4e7b-9711-643293748bcb,78.89
68edaa67-9129-4491-9cae-527862014491,34.51
6d889309-713d-4b26-98d5-0ffcffd5a252,5.73
6821ed86-51f8-4e00-b698-006c9bc9ec49,37.57
63db051e-3758-4dc0-a51c-667df211abf4,34.09
69ec04e9-f331-4da8-a22f-0b0d12849187,39.11
6b6ec79f-046f-429a-975a-094d30bd5733,4.19
60b59aab-a97f-42a5-bbf5-9abf718245f8,29.91
6a4ab958-5cce-4511-8eca-9678b954a095,3.59
6cadee5e-35ad-4b73-bdbb-248a8ed948a0,48.92
6a9610ca-fa93-4abe-87e4-9ed432abad80,75.92
6f949265-daa2-4240-bf42-989d3f4adc0c,35.11
6d48178a-08b7-47e9-994b-506cb695d01c,49.92
64caa0cb-3a84-45d6-879d-5329f3543e70,83.39
6335af3d-83e7-498a-9d22-94d796125438,44.36
626411b2-d8b0-4045-b7ca-803870930266,95.3
629d6b22-8cc1-41a1-a67d-2d3349fc853e,84.33
61558a3c-1f9a-4677-b357-c10b74fcb465,25.78
6583eb20-5e12-465c-b478-522632714aa7,83.19
67722b2a-6a65-431f-b499-5be746f7c755,67.1
60972406-c496-4ba6-84f2-f30f4fda3259,32.65
61e72c44-b2f9-4188-a7ef-9d6ed0f4e54f,96.04
67b407d4-696d-4b3c-8dde-759d16676970,22.18
60e1c8b1-8ee0-4f87-9c03-1a597567efad,22.62
64f6bc75-f822-4d7a-bb1b-16791717657e,54.81
6ab1369e-fca5-4c3d-930d-bac077016949,19.77
65430988-b663-495f-b3b8-d55a0f634231,36.49
68af3566-b75e-4307-9a69-759f1e103b7a,65.68
6418753c-54cc-475f-8822-a1ae89437653,81.66
64e5939f-a2db-4018-8a36-5b1e00100254,65.31
608846f3-4aa5-4234-a8af-90dafa2dd10b,85.08
6e3d8abe-cb92-489c-968c-901233846869,33.95
65943ebc-0ea9-4447-9b14-cbc243699ead,57.6
6863b143-ccee-4167-9472-dbdff33869e0,29.49
611bbbba-e95f-4751-bca0-378248223b29,91.22
61551c0e-0c71-431d-882d-d74f0a9fbf44,59.23
6fcd65f2-0b6f-41f4-8ae5-3a6d9d4b498d,58.03
636644ae-2b3c-42d5-a67f-9f7fae820c60,44.56
6e6b5c01-443f-471d-98c8-a3858e63eb26,41.87
